,commitinfo,codeBlockId,unique,Revision,clonesets,codeBlock_start,codeBlock_end,nloc,codeBlock_fileinfo,codeCloneBlockId,change_type,codeBlock_start_diffs,codeBlock_end_diff,nloc_diff,status,disappearing_clone_diffs
0,b5a523f87afca3491f9137bc775277ef96cba982,9,R1CodeBlock9,1,1,87,102,76,ArUtils.java,CodeBlock11,ModificationType.ADD,,new,new,new,disappearing_clone
108,b5a523f87afca3491f9137bc775277ef96cba982,295,R1CodeBlock295,1,33,498,513,1444,Native2ASCIIEncodingTest.java,CodeBlock275,ModificationType.ADD,,new,new,new,disappearing_clone
109,b5a523f87afca3491f9137bc775277ef96cba982,296,R1CodeBlock296,1,32,516,526,1444,Native2ASCIIEncodingTest.java,CodeBlock297,ModificationType.ADD,,new,new,new,disappearing_clone
110,b5a523f87afca3491f9137bc775277ef96cba982,297,R1CodeBlock297,1,32,529,540,1444,Native2ASCIIEncodingTest.java,CodeBlock296,ModificationType.ADD,,new,new,new,disappearing_clone
111,b5a523f87afca3491f9137bc775277ef96cba982,298,R1CodeBlock298,1,38,543,551,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
112,b5a523f87afca3491f9137bc775277ef96cba982,299,R1CodeBlock299,1,29,554,559,1444,Native2ASCIIEncodingTest.java,CodeBlock302,ModificationType.ADD,,new,new,new,disappearing_clone
113,b5a523f87afca3491f9137bc775277ef96cba982,300,R1CodeBlock300,1,43,562,567,1444,Native2ASCIIEncodingTest.java,CodeBlock302,ModificationType.ADD,,new,new,new,disappearing_clone
114,b5a523f87afca3491f9137bc775277ef96cba982,301,R1CodeBlock301,1,36,570,575,1444,Native2ASCIIEncodingTest.java,CodeBlock302,ModificationType.ADD,,new,new,new,disappearing_clone
115,b5a523f87afca3491f9137bc775277ef96cba982,302,R1CodeBlock302,1,58,578,583,1444,Native2ASCIIEncodingTest.java,CodeBlock301,ModificationType.ADD,,new,new,new,disappearing_clone
116,b5a523f87afca3491f9137bc775277ef96cba982,304,R1CodeBlock304,1,30,595,602,1444,Native2ASCIIEncodingTest.java,CodeBlock342,ModificationType.ADD,,new,new,new,disappearing_clone
117,b5a523f87afca3491f9137bc775277ef96cba982,305,R1CodeBlock305,1,30,605,612,1444,Native2ASCIIEncodingTest.java,CodeBlock342,ModificationType.ADD,,new,new,new,disappearing_clone
118,b5a523f87afca3491f9137bc775277ef96cba982,306,R1CodeBlock306,1,28,615,623,1444,Native2ASCIIEncodingTest.java,CodeBlock342,ModificationType.ADD,,new,new,new,disappearing_clone
119,b5a523f87afca3491f9137bc775277ef96cba982,307,R1CodeBlock307,1,33,626,645,1444,Native2ASCIIEncodingTest.java,CodeBlock318,ModificationType.ADD,,new,new,new,disappearing_clone
120,b5a523f87afca3491f9137bc775277ef96cba982,308,R1CodeBlock308,1,32,648,660,1444,Native2ASCIIEncodingTest.java,CodeBlock320,ModificationType.ADD,,new,new,new,disappearing_clone
121,b5a523f87afca3491f9137bc775277ef96cba982,309,R1CodeBlock309,1,32,663,675,1444,Native2ASCIIEncodingTest.java,CodeBlock320,ModificationType.ADD,,new,new,new,disappearing_clone
122,b5a523f87afca3491f9137bc775277ef96cba982,310,R1CodeBlock310,1,38,678,687,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
123,b5a523f87afca3491f9137bc775277ef96cba982,311,R1CodeBlock311,1,33,690,709,1444,Native2ASCIIEncodingTest.java,CodeBlock331,ModificationType.ADD,,new,new,new,disappearing_clone
124,b5a523f87afca3491f9137bc775277ef96cba982,312,R1CodeBlock312,1,32,712,725,1444,Native2ASCIIEncodingTest.java,CodeBlock333,ModificationType.ADD,,new,new,new,disappearing_clone
107,b5a523f87afca3491f9137bc775277ef96cba982,294,R1CodeBlock294,1,38,487,495,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
125,b5a523f87afca3491f9137bc775277ef96cba982,313,R1CodeBlock313,1,32,728,741,1444,Native2ASCIIEncodingTest.java,CodeBlock333,ModificationType.ADD,,new,new,new,disappearing_clone
106,b5a523f87afca3491f9137bc775277ef96cba982,293,R1CodeBlock293,1,30,479,484,1444,Native2ASCIIEncodingTest.java,CodeBlock292,ModificationType.ADD,,new,new,new,disappearing_clone
104,b5a523f87afca3491f9137bc775277ef96cba982,289,R1CodeBlock289,1,33,445,449,1444,Native2ASCIIEncodingTest.java,CodeBlock288,ModificationType.ADD,,new,new,new,disappearing_clone
87,b5a523f87afca3491f9137bc775277ef96cba982,269,R1CodeBlock269,1,7,105,112,1444,Native2ASCIIEncodingTest.java,CodeBlock268,ModificationType.ADD,,new,new,new,disappearing_clone
88,b5a523f87afca3491f9137bc775277ef96cba982,270,R1CodeBlock270,1,37,115,119,1444,Native2ASCIIEncodingTest.java,CodeBlock288,ModificationType.ADD,,new,new,new,disappearing_clone
89,b5a523f87afca3491f9137bc775277ef96cba982,271,R1CodeBlock271,1,30,122,127,1444,Native2ASCIIEncodingTest.java,CodeBlock293,ModificationType.ADD,,new,new,new,disappearing_clone
90,b5a523f87afca3491f9137bc775277ef96cba982,272,R1CodeBlock272,1,30,130,135,1444,Native2ASCIIEncodingTest.java,CodeBlock293,ModificationType.ADD,,new,new,new,disappearing_clone
91,b5a523f87afca3491f9137bc775277ef96cba982,273,R1CodeBlock273,1,28,138,145,1444,Native2ASCIIEncodingTest.java,CodeBlock325,ModificationType.ADD,,new,new,new,disappearing_clone
92,b5a523f87afca3491f9137bc775277ef96cba982,275,R1CodeBlock275,1,33,223,238,1444,Native2ASCIIEncodingTest.java,CodeBlock295,ModificationType.ADD,,new,new,new,disappearing_clone
93,b5a523f87afca3491f9137bc775277ef96cba982,276,R1CodeBlock276,1,32,241,252,1444,Native2ASCIIEncodingTest.java,CodeBlock297,ModificationType.ADD,,new,new,new,disappearing_clone
94,b5a523f87afca3491f9137bc775277ef96cba982,277,R1CodeBlock277,1,32,255,266,1444,Native2ASCIIEncodingTest.java,CodeBlock297,ModificationType.ADD,,new,new,new,disappearing_clone
95,b5a523f87afca3491f9137bc775277ef96cba982,278,R1CodeBlock278,1,38,269,278,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
96,b5a523f87afca3491f9137bc775277ef96cba982,280,R1CodeBlock280,1,31,293,301,1444,Native2ASCIIEncodingTest.java,CodeBlock281,ModificationType.ADD,,new,new,new,disappearing_clone
97,b5a523f87afca3491f9137bc775277ef96cba982,281,R1CodeBlock281,1,31,304,312,1444,Native2ASCIIEncodingTest.java,CodeBlock280,ModificationType.ADD,,new,new,new,disappearing_clone
98,b5a523f87afca3491f9137bc775277ef96cba982,282,R1CodeBlock282,1,38,315,324,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
99,b5a523f87afca3491f9137bc775277ef96cba982,284,R1CodeBlock284,1,32,369,391,1444,Native2ASCIIEncodingTest.java,CodeBlock285,ModificationType.ADD,,new,new,new,disappearing_clone
100,b5a523f87afca3491f9137bc775277ef96cba982,285,R1CodeBlock285,1,32,394,416,1444,Native2ASCIIEncodingTest.java,CodeBlock284,ModificationType.ADD,,new,new,new,disappearing_clone
101,b5a523f87afca3491f9137bc775277ef96cba982,286,R1CodeBlock286,1,38,419,428,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
102,b5a523f87afca3491f9137bc775277ef96cba982,287,R1CodeBlock287,1,35,431,435,1444,Native2ASCIIEncodingTest.java,CodeBlock289,ModificationType.ADD,,new,new,new,disappearing_clone
103,b5a523f87afca3491f9137bc775277ef96cba982,288,R1CodeBlock288,1,34,438,442,1444,Native2ASCIIEncodingTest.java,CodeBlock289,ModificationType.ADD,,new,new,new,disappearing_clone
105,b5a523f87afca3491f9137bc775277ef96cba982,292,R1CodeBlock292,1,30,471,476,1444,Native2ASCIIEncodingTest.java,CodeBlock293,ModificationType.ADD,,new,new,new,disappearing_clone
126,b5a523f87afca3491f9137bc775277ef96cba982,314,R1CodeBlock314,1,38,744,755,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
127,b5a523f87afca3491f9137bc775277ef96cba982,315,R1CodeBlock315,1,32,758,775,1444,Native2ASCIIEncodingTest.java,CodeBlock316,ModificationType.ADD,,new,new,new,disappearing_clone
128,b5a523f87afca3491f9137bc775277ef96cba982,316,R1CodeBlock316,1,32,778,795,1444,Native2ASCIIEncodingTest.java,CodeBlock315,ModificationType.ADD,,new,new,new,disappearing_clone
151,b5a523f87afca3491f9137bc775277ef96cba982,347,R1CodeBlock347,1,33,1347,1365,1444,Native2ASCIIEncodingTest.java,CodeBlock345,ModificationType.ADD,,new,new,new,disappearing_clone
152,b5a523f87afca3491f9137bc775277ef96cba982,348,R1CodeBlock348,1,39,1368,1380,1444,Native2ASCIIEncodingTest.java,CodeBlock351,ModificationType.ADD,,new,new,new,disappearing_clone
153,b5a523f87afca3491f9137bc775277ef96cba982,349,R1CodeBlock349,1,39,1383,1390,1444,Native2ASCIIEncodingTest.java,CodeBlock359,ModificationType.ADD,,new,new,new,disappearing_clone
154,b5a523f87afca3491f9137bc775277ef96cba982,350,R1CodeBlock350,1,39,1393,1400,1444,Native2ASCIIEncodingTest.java,CodeBlock360,ModificationType.ADD,,new,new,new,disappearing_clone
155,b5a523f87afca3491f9137bc775277ef96cba982,351,R1CodeBlock351,1,39,1403,1410,1444,Native2ASCIIEncodingTest.java,CodeBlock360,ModificationType.ADD,,new,new,new,disappearing_clone
156,b5a523f87afca3491f9137bc775277ef96cba982,352,R1CodeBlock352,1,39,1413,1420,1444,Native2ASCIIEncodingTest.java,CodeBlock360,ModificationType.ADD,,new,new,new,disappearing_clone
157,b5a523f87afca3491f9137bc775277ef96cba982,353,R1CodeBlock353,1,39,1423,1431,1444,Native2ASCIIEncodingTest.java,CodeBlock365,ModificationType.ADD,,new,new,new,disappearing_clone
158,b5a523f87afca3491f9137bc775277ef96cba982,354,R1CodeBlock354,1,39,1434,1442,1444,Native2ASCIIEncodingTest.java,CodeBlock365,ModificationType.ADD,,new,new,new,disappearing_clone
159,b5a523f87afca3491f9137bc775277ef96cba982,355,R1CodeBlock355,1,39,1445,1453,1444,Native2ASCIIEncodingTest.java,CodeBlock365,ModificationType.ADD,,new,new,new,disappearing_clone
160,b5a523f87afca3491f9137bc775277ef96cba982,356,R1CodeBlock356,1,39,1456,1463,1444,Native2ASCIIEncodingTest.java,CodeBlock360,ModificationType.ADD,,new,new,new,disappearing_clone
161,b5a523f87afca3491f9137bc775277ef96cba982,357,R1CodeBlock357,1,39,1466,1473,1444,Native2ASCIIEncodingTest.java,CodeBlock360,ModificationType.ADD,,new,new,new,disappearing_clone
162,b5a523f87afca3491f9137bc775277ef96cba982,358,R1CodeBlock358,1,39,1476,1483,1444,Native2ASCIIEncodingTest.java,CodeBlock360,ModificationType.ADD,,new,new,new,disappearing_clone
163,b5a523f87afca3491f9137bc775277ef96cba982,359,R1CodeBlock359,1,39,1486,1493,1444,Native2ASCIIEncodingTest.java,CodeBlock360,ModificationType.ADD,,new,new,new,disappearing_clone
164,b5a523f87afca3491f9137bc775277ef96cba982,360,R1CodeBlock360,1,39,1496,1503,1444,Native2ASCIIEncodingTest.java,CodeBlock359,ModificationType.ADD,,new,new,new,disappearing_clone
165,b5a523f87afca3491f9137bc775277ef96cba982,361,R1CodeBlock361,1,39,1506,1514,1444,Native2ASCIIEncodingTest.java,CodeBlock365,ModificationType.ADD,,new,new,new,disappearing_clone
166,b5a523f87afca3491f9137bc775277ef96cba982,362,R1CodeBlock362,1,39,1517,1525,1444,Native2ASCIIEncodingTest.java,CodeBlock365,ModificationType.ADD,,new,new,new,disappearing_clone
167,b5a523f87afca3491f9137bc775277ef96cba982,363,R1CodeBlock363,1,39,1528,1536,1444,Native2ASCIIEncodingTest.java,CodeBlock365,ModificationType.ADD,,new,new,new,disappearing_clone
150,b5a523f87afca3491f9137bc775277ef96cba982,345,R1CodeBlock345,1,33,1302,1315,1444,Native2ASCIIEncodingTest.java,CodeBlock347,ModificationType.ADD,,new,new,new,disappearing_clone
149,b5a523f87afca3491f9137bc775277ef96cba982,342,R1CodeBlock342,1,33,1262,1270,1444,Native2ASCIIEncodingTest.java,CodeBlock306,ModificationType.ADD,,new,new,new,disappearing_clone
148,b5a523f87afca3491f9137bc775277ef96cba982,341,R1CodeBlock341,1,66,1248,1259,1444,Native2ASCIIEncodingTest.java,CodeBlock340,ModificationType.ADD,,new,new,new,disappearing_clone
147,b5a523f87afca3491f9137bc775277ef96cba982,340,R1CodeBlock340,1,38,1233,1245,1444,Native2ASCIIEncodingTest.java,CodeBlock341,ModificationType.ADD,,new,new,new,disappearing_clone
129,b5a523f87afca3491f9137bc775277ef96cba982,317,R1CodeBlock317,1,6,798,805,1444,Native2ASCIIEncodingTest.java,CodeBlock325,ModificationType.ADD,,new,new,new,disappearing_clone
130,b5a523f87afca3491f9137bc775277ef96cba982,318,R1CodeBlock318,1,33,808,827,1444,Native2ASCIIEncodingTest.java,CodeBlock307,ModificationType.ADD,,new,new,new,disappearing_clone
131,b5a523f87afca3491f9137bc775277ef96cba982,319,R1CodeBlock319,1,32,830,842,1444,Native2ASCIIEncodingTest.java,CodeBlock320,ModificationType.ADD,,new,new,new,disappearing_clone
132,b5a523f87afca3491f9137bc775277ef96cba982,320,R1CodeBlock320,1,32,845,857,1444,Native2ASCIIEncodingTest.java,CodeBlock319,ModificationType.ADD,,new,new,new,disappearing_clone
133,b5a523f87afca3491f9137bc775277ef96cba982,321,R1CodeBlock321,1,38,860,869,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
134,b5a523f87afca3491f9137bc775277ef96cba982,323,R1CodeBlock323,1,30,886,894,1444,Native2ASCIIEncodingTest.java,CodeBlock324,ModificationType.ADD,,new,new,new,disappearing_clone
135,b5a523f87afca3491f9137bc775277ef96cba982,324,R1CodeBlock324,1,30,897,905,1444,Native2ASCIIEncodingTest.java,CodeBlock323,ModificationType.ADD,,new,new,new,disappearing_clone
136,b5a523f87afca3491f9137bc775277ef96cba982,325,R1CodeBlock325,1,60,908,916,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
86,b5a523f87afca3491f9137bc775277ef96cba982,268,R1CodeBlock268,1,21,98,103,1444,Native2ASCIIEncodingTest.java,CodeBlock269,ModificationType.ADD,,new,new,new,disappearing_clone
137,b5a523f87afca3491f9137bc775277ef96cba982,328,R1CodeBlock328,1,32,977,991,1444,Native2ASCIIEncodingTest.java,CodeBlock329,ModificationType.ADD,,new,new,new,disappearing_clone
139,b5a523f87afca3491f9137bc775277ef96cba982,330,R1CodeBlock330,1,38,1011,1020,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
140,b5a523f87afca3491f9137bc775277ef96cba982,331,R1CodeBlock331,1,33,1023,1040,1444,Native2ASCIIEncodingTest.java,CodeBlock311,ModificationType.ADD,,new,new,new,disappearing_clone
141,b5a523f87afca3491f9137bc775277ef96cba982,332,R1CodeBlock332,1,32,1043,1054,1444,Native2ASCIIEncodingTest.java,CodeBlock333,ModificationType.ADD,,new,new,new,disappearing_clone
142,b5a523f87afca3491f9137bc775277ef96cba982,333,R1CodeBlock333,1,32,1057,1069,1444,Native2ASCIIEncodingTest.java,CodeBlock332,ModificationType.ADD,,new,new,new,disappearing_clone
143,b5a523f87afca3491f9137bc775277ef96cba982,334,R1CodeBlock334,1,38,1072,1081,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
144,b5a523f87afca3491f9137bc775277ef96cba982,336,R1CodeBlock336,1,32,1128,1151,1444,Native2ASCIIEncodingTest.java,CodeBlock337,ModificationType.ADD,,new,new,new,disappearing_clone
145,b5a523f87afca3491f9137bc775277ef96cba982,337,R1CodeBlock337,1,32,1154,1178,1444,Native2ASCIIEncodingTest.java,CodeBlock336,ModificationType.ADD,,new,new,new,disappearing_clone
